,ID,centroid_x,centroid_y,xmin,ymin,xmax,ymax,area,bbox_area,convex_area,filled_area,eccentricity,equivalent_diameter,orientation,perimeter,solidity,D__weighted_centroid_x,D__weighted_centroid_y,D__Sum,D__Mean,D__Max,D__Area,D__Variance,D__Entropy,D__Skew,D__Centroid_Shift,D__AreaPerc,H__weighted_centroid_x,H__weighted_centroid_y,H__Sum,H__Mean,H__Max,H__Area,H__Variance,H__Entropy,H__Skew,H__Centroid_Shift,H__AreaPerc,DPH__weighted_centroid_x,DPH__weighted_centroid_y,DPH__Sum,DPH__Mean,DPH__Max,DPH__Area,DPH__Variance,DPH__Entropy,DPH__Skew,DPH__Centroid_Shift,DPH__AreaPerc,score,class
32,33,445,458,431,444,461,474,643,900,657,643,0.7605808128676023,28.61281229213077,-0.7759786345828454,96.66904755831214,0.9786910197869102,445.0865715983363,458.8245989304813,16830,26.174183514774494,41,642,0.7271001333072896,6.412577933606346,-0.32432901347120063,0.642488552679177,0.9984447900466563,445.0865715983363,458.8245989304813,16830,26.174183514774494,41,642,0.7271001333072896,6.412577933606346,-0.32432901347120063,0.642488552679177,0.9984447900466563,445.0865715983363,458.8245989304813,16830,26.174183514774494,41,642,0.7271001333072896,6.412577933606346,-0.32432901347120063,0.642488552679177,0.9984447900466563,0.9901014566421509,1
33,34,132,145,120,129,145,164,652,875,669,652,0.7571871168203885,28.812361638146328,1.258838404344009,97.25483399593904,0.9745889387144993,132.5511365963547,145.19948801966004,48830,74.89263803680981,134,652,0.7293195721891492,6.407136414314874,-0.02010141992710486,0.7973736330058001,1.0,132.5511365963547,145.19948801966004,48830,74.89263803680981,134,652,0.7293195721891492,6.407136414314874,-0.02010141992710486,0.7973736330058001,1.0,132.5511365963547,145.19948801966004,48830,74.89263803680981,134,652,0.7293195721891492,6.407136414314874,-0.02010141992710486,0.7973736330058001,1.0,0.987973690032959,1
34,35,211,136,200,123,227,151,520,756,543,520,0.5029685478410831,25.731003930322746,-0.9788322674297402,86.66904755831213,0.9576427255985267,212.10440957484528,135.34643475794442,98717,189.8403846153846,255,520,0.8119471887356664,6.167012275675296,-0.1254551537210051,1.031468090289569,1.0,212.10440957484528,135.34643475794442,98717,189.8403846153846,255,520,0.8119471887356664,6.167012275675296,-0.1254551537210051,1.031468090289569,1.0,212.10440957484528,135.34643475794442,98717,189.8403846153846,255,520,0.8119471887356664,6.167012275675296,-0.1254551537210051,1.031468090289569,1.0,0.9872467517852783,1
35,36,246,480,230,462,263,499,894,1221,927,894,0.7487142716998878,33.73834840345975,1.0072404198013987,116.08326112068524,0.9644012944983819,245.97439791003347,480.55895175116336,61245,68.50671140939598,125,894,0.7249837212946931,6.736628722326785,-0.09327679470845639,0.764532018084751,1.0,245.97439791003347,480.55895175116336,61245,68.50671140939598,125,894,0.7249837212946931,6.736628722326785,-0.09327679470845639,0.764532018084751,1.0,245.97439791003347,480.55895175116336,61245,68.50671140939598,125,894,0.7249837212946931,6.736628722326785,-0.09327679470845639,0.764532018084751,1.0,0.985205352306366,1
36,37,261,118,245,100,278,139,1048,1287,1071,1048,0.5967995223584849,36.52882482208332,-1.1088547325308489,121.49747468305831,0.9785247432306255,260.50747498698746,118.76763923428373,69164,65.99618320610686,122,1048,0.5693190473598873,6.914569987798243,-0.5498240958648601,0.8451170756699978,1.0,260.50747498698746,118.76763923428373,69164,65.99618320610686,122,1048,0.5693190473598873,6.914569987798243,-0.5498240958648601,0.8451170756699978,1.0,260.50747498698746,118.76763923428373,69164,65.99618320610686,122,1048,0.5693190473598873,6.914569987798243,-0.5498240958648601,0.8451170756699978,1.0,0.9846876263618469,1
37,38,297,68,288,58,306,80,328,396,335,328,0.595285824960073,20.435815879801165,1.5103776235011561,65.45584412271572,0.9791044776119403,296.6129192752602,67.31522865790456,24119,73.53353658536585,137,328,0.5964231949367795,5.732767111108842,-0.18376638249002678,1.1264384595084431,1.0,296.6129192752602,67.31522865790456,24119,73.53353658536585,137,328,0.5964231949367795,5.732767111108842,-0.18376638249002678,1.1264384595084431,1.0,296.6129192752602,67.31522865790456,24119,73.53353658536585,137,328,0.5964231949367795,5.732767111108842,-0.18376638249002678,1.1264384595084431,1.0,0.9829907417297363,1
38,39,292,36,278,20,310,55,833,1120,888,833,0.5966280507733099,32.56698544176895,-1.2208525798598808,120.77564927611036,0.9380630630630631,293.683015072468,36.82601900158467,138199,165.90516206482593,255,833,0.7107462616938998,6.657521184014712,-0.26687382849504954,1.1317288054929797,1.0,293.683015072468,36.82601900158467,138199,165.90516206482593,255,833,0.7107462616938998,6.657521184014712,-0.26687382849504954,1.1317288054929797,1.0,293.683015072468,36.82601900158467,138199,165.90516206482593,255,833,0.7107462616938998,6.657521184014712,-0.26687382849504954,1.1317288054929797,1.0,0.9829764366149902,1
39,40,254,194,241,177,270,215,842,1102,862,842,0.7198799182100539,32.74244487919323,-1.2139839267978085,109.49747468305833,0.9767981438515081,254.58677374699727,194.13815601970603,98244,116.6793349168646,216,842,0.6830033506888622,6.669314790659449,-0.27195438422661333,0.9331355133605131,1.0,254.58677374699727,194.13815601970603,98244,116.6793349168646,216,842,0.6830033506888622,6.669314790659449,-0.27195438422661333,0.9331355133605131,1.0,254.58677374699727,194.13815601970603,98244,116.6793349168646,216,842,0.6830033506888622,6.669314790659449,-0.27195438422661333,0.9331355133605131,1.0,0.9817816019058228,1
40,41,332,376,316,358,351,397,1082,1365,1105,1082,0.5488056460061229,37.116642997494345,1.142810265923531,121.7401153701776,0.9791855203619909,331.67294566253577,376.35861636933134,183575,169.6626617375231,255,1082,0.6515226441242714,6.9182401097895845,-0.25936024775966776,1.1806228213562748,1.0,331.67294566253577,376.35861636933134,183575,169.6626617375231,255,1082,0.6515226441242714,6.9182401097895845,-0.25936024775966776,1.1806228213562748,1.0,331.67294566253577,376.35861636933134,183575,169.6626617375231,255,1082,0.6515226441242714,6.9182401097895845,-0.25936024775966776,1.1806228213562748,1.0,0.9799391031265259,1
41,42,366,178,359,171,378,191,190,380,298,190,0.5044950955945998,15.553633450087505,0.30293020814024113,61.62741699796952,0.6375838926174496,365.8588055490242,179.077631475821,25518,134.30526315789473,255,190,1.328333949027166,5.039306462173665,1.0390236716070198,0.5096777877613964,1.0,365.8588055490242,179.077631475821,25518,134.30526315789473,255,190,1.328333949027166,5.039306462173665,1.0390236716070198,0.5096777877613964,1.0,365.8588055490242,179.077631475821,25518,134.30526315789473,255,190,1.328333949027166,5.039306462173665,1.0390236716070198,0.5096777877613964,1.0,0.9764633178710938,1
42,43,415,338,408,331,425,347,218,272,224,218,0.5140699871837161,16.66031874701878,0.6345410601021325,52.62741699796951,0.9732142857142857,415.76414844851905,338.55214210155145,22688,104.07339449541284,198,218,0.679730608623002,5.29574823292694,-0.012304748025225269,0.24913320617280799,1.0,415.76414844851905,338.55214210155145,22688,104.07339449541284,198,218,0.679730608623002,5.29574823292694,-0.012304748025225269,0.24913320617280799,1.0,415.76414844851905,338.55214210155145,22688,104.07339449541284,198,218,0.679730608623002,5.29574823292694,-0.012304748025225269,0.24913320617280799,1.0,0.9735623002052307,1
43,44,248,23,236,10,262,38,538,728,561,538,0.6507129588581738,26.17255958188877,0.9845422450115429,87.84062043356595,0.9590017825311943,247.82685148329392,23.34060736612892,42709,79.38475836431226,140,538,0.7106252242307386,6.230670771112166,-0.15029175625021585,0.35155342289004776,1.0,247.82685148329392,23.34060736612892,42709,79.38475836431226,140,538,0.7106252242307386,6.230670771112166,-0.15029175625021585,0.35155342289004776,1.0,247.82685148329392,23.34060736612892,42709,79.38475836431226,140,538,0.7106252242307386,6.230670771112166,-0.15029175625021585,0.35155342289004776,1.0,0.9728773832321167,1
44,45,369,197,358,184,383,210,499,650,514,499,0.5593176538389841,25.206081266687335,0.9928556448639336,82.76955262170047,0.9708171206225681,369.3952871785512,197.11763801765628,104099,208.61523046092185,255,499,0.657502551667416,6.1522138252876815,-0.5519798928039026,0.34864158662680794,1.0,369.3952871785512,197.11763801765628,104099,208.61523046092185,255,499,0.657502551667416,6.1522138252876815,-0.5519798928039026,0.34864158662680794,1.0,369.3952871785512,197.11763801765628,104099,208.61523046092185,255,499,0.657502551667416,6.1522138252876815,-0.5519798928039026,0.34864158662680794,1.0,0.9664707183837891,1
